FIPS,Socioeconomic,HouseholdCompDisab,MinorityLang,HousingTransp,Total
2017901,0.9391,0.8139,0.9951,0.9499,0.9753
2017902,0.978,0.6873,0.9895,0.9538,0.9737
2018101,0.9397,0.8441,0.9876,0.8875,0.9643
2018102,0.9733,0.8713,0.9672,0.9836,0.9927
2018301,0.8413,0.8309,0.9606,0.7549,0.912
2018302,0.8945,0.7146,0.9753,0.7472,0.9129
2018400,0.6007,0.634,0.6303,0.1902,0.5288
2018500,0.9571,0.9143,0.9526,0.9764,0.9911
2018900,0.8844,0.8951,0.9351,0.9695,0.972
2019300,0.983,0.924,0.973,0.7354,0.9629
2019400,0.8742,0.8895,0.7707,0.4523,0.8568
2019500,0.9565,0.8393,0.9779,0.9801,0.9888
2019700,0.9368,0.7321,0.9915,0.8214,0.9405
2019900,0.9271,0.8965,0.9726,0.7696,0.9463
2020000,0.9281,0.5898,0.9458,0.9146,0.9371
2020100,0.8603,0.9523,0.9588,0.9782,0.9809
2020200,0.8112,0.8713,0.8986,0.8589,0.9216
2020400,0.8736,0.27699999999999997,0.8847,0.7694,0.8357
2020501,0.9673,0.9451,0.9878,0.8498,0.9788
2020502,0.966,0.9952,0.9885,0.9857,0.9996
2020601,0.8806,0.1347,0.9293,0.736,0.8035
2020900,0.7702,0.6865,0.9647,0.7855,0.8743
2021001,0.6954,0.4461,0.8788,0.8208,0.8017
2021002,0.7445,0.4686,0.8711,0.7120000000000001,0.7913
2021100,0.9799,0.8437,0.9740000000000001,0.9476,0.9836
2021200,0.7549,0.4762,0.833,0.6898,0.7811
2021301,0.9501,0.7392,0.9394,0.7414,0.9257
2021302,0.9695,0.723,0.9864,0.9136,0.9658
2021501,0.9602,0.9033,0.9837,0.9739,0.9915
2021502,0.9758,0.8608,0.9955,0.9675,0.9909
2021601,0.93,0.7619,0.8759,0.8419,0.9311
2021602,0.8562,0.5735,0.9225,0.706,0.8608
2021700,0.9755,0.8544,0.9581,0.9789,0.9902
2021800,0.8862,0.8905,0.9355,0.8678,0.9461
2021900,0.9731,0.7495,0.9936,0.9642,0.9811
2022000,0.9706,0.9376,0.9734,0.9629,0.9925
2022101,0.9557,0.8116,0.9979,0.7979999999999999,0.9519
2022102,0.9921,0.8819,0.9984,0.8181,0.9749
2022200,0.8154,0.4767,0.9097,0.9192,0.89
2022300,0.9712,0.8342,0.9946,0.7648,0.9539
2022401,0.794,0.4465,0.8297,0.8293,0.8386
2022403,0.8722,0.8319,0.8049,0.6948,0.8911
2022404,0.6819,0.2821,0.794,0.9132,0.7932
2022500,0.9476,0.7652,0.9918,0.9807,0.983
2022701,0.9420000000000001,0.8086,0.9858,0.9994,0.9975
2022702,0.9639,0.5523,0.9757,0.7775,0.9226
2022703,0.8947,0.6956,0.9732,0.7833,0.9159999999999999
2022800,0.8245,0.8552,0.8419,0.6981,0.8826
2022901,0.9484,0.8166,0.9685,0.7445,0.938
2022902,0.9675,0.7776,0.992,0.9959,0.9961
2023000,0.8643,0.8247,0.8068,0.6736,0.8828
2023100,0.9919,0.7609999999999999,0.9431,0.9824,0.9873
2023200,0.8958,0.9862,0.8398,0.7652,0.9438
2023301,0.9496,0.6452,0.9831,0.9561,0.9618
2023302,0.9656,0.9002,0.9905,0.9809,0.9940000000000001
2023501,0.9573,0.8331,0.9973,0.7545,0.9496
2023502,0.9494,0.8509,0.9965,0.9625,0.9842
2023600,0.9523,0.9767,0.8408,0.8657,0.9703
2023702,0.9594,0.8662,0.9934,0.9546,0.9863
2023703,0.9901,0.8199,0.9794,0.9847,0.9934
2023704,0.9934,0.9283,0.9969,0.9345,0.9936
2023800,0.8465,0.8278,0.8289,0.3357,0.8102
2023900,0.9872,0.6948,0.9971,0.9673,0.982
2024000,0.9119,0.6881,0.8998,0.4503,0.8504
2024100,0.9318,0.7796,0.9662,0.9666,0.9712
2024300,0.9258,0.9269,0.9802,0.8695,0.9687
2024400,0.6641,0.8290000000000001,0.7551,0.3566,0.7176
2024501,0.9878,0.9261,0.9963,0.9973,0.9998
2024502,0.9548,0.919,0.9965,0.965,0.9921
2024600,0.7735,0.721,0.7109,0.3386,0.7239
2024700,0.8539,0.8228,0.9472,0.7041,0.9041
2024800,0.7,0.2772,0.7346,0.7225,0.7085
2024900,-999.0,-999.0,-999.0,-999.0,-999.0
2025000,0.551,0.9922,0.6427,0.2748,0.7027
2025100,0.9211,0.5112,0.9932,0.9944,0.9739
2025200,0.6324,0.3738,0.6946,0.6107,0.6573
2025300,0.9414,0.8558,0.9959,0.971,0.9857
2025400,0.7151,0.6109,0.6289,0.6962,0.7535
2025500,0.9519,0.8183,0.988,0.9671,0.9813
2025600,0.8993,0.5366,0.7839,0.8736,0.8963
2025700,0.7387,0.0741,0.9862,0.9447,0.8044
2026100,0.2018,0.4812,0.7903,0.9088,0.6253
2026300,0.9277,0.9969,0.919,0.9724,0.9952
2026400,0.6214,0.8463,0.7282,0.4528,0.7272
2026500,0.9542,0.5169,0.9814,0.9979,0.9884
2026601,0.5265,0.8876,0.6614,0.5986,0.7328
2026602,0.7994,0.9657,0.7049,0.7221,0.8929
2026701,0.8864,0.5037,0.9567,0.7847,0.8886
2026702,0.9432,0.7065,0.9767,0.8686,0.9440000000000001
2026900,0.8574,0.8561,0.9691,0.9258,0.9508
2027300,0.9256,0.9044,0.9689,0.9971,0.9971
2027401,0.2706,0.7069,0.5384,0.3427,0.4214
2027402,0.3626,0.7053,0.5322,0.4474,0.5093
2027600,-999.0,0.0615,1.0,0.4003,-999.0
2027700,0.9082,0.9178,0.9184,0.873,0.9556
2027900,0.6631,0.9449,0.847,0.9405,0.9174
2028100,0.5827,0.5758,0.7249,0.8742,0.7726
2028300,0.9747,0.9529,0.894,0.8137,0.9668
2028400,0.8902,0.4711,0.7089,0.7035,0.8299
2028500,0.6492,0.2063,0.627,0.794,0.6691
2028600,0.3862,0.20800000000000002,0.6392,0.2109,0.3162
2028700,0.6585,0.5653,0.8367,0.7516,0.7774
2028800,0.4644,0.4199,0.6328,0.4376,0.5131
2028900,0.7731,0.7507,0.8967,0.9608,0.9224
2029301,0.1299,0.2069,0.4532,0.7346,0.3197
2029302,0.155,0.6278,0.5004,0.7899,0.4888
2029500,0.2041,0.4688,0.426,0.9646,0.5641
2029600,0.47,0.0628,0.6773,0.8684,0.5508
2029700,0.1977,0.9083,0.4602,0.8643,0.6361
2030000,0.4538,0.1881,0.7227,0.5794,0.5172
2030100,0.2453,0.4036,0.6313,0.7998,0.5297
2030200,0.6606,0.8428,0.5854,0.7884,0.8064
2030701,0.2356,0.6809,0.4623,0.3746,0.3788
2030900,0.3529,0.5824,0.5404,0.769,0.5844
2031000,0.4867,0.5805,0.7173,0.6291,0.6498
2031200,0.3545,0.8379,0.6544,0.3952,0.5672
2031400,0.4167,0.8096,0.6788,0.5781,0.6544
2031600,0.5698,0.6974,0.7138,0.2735,0.589
2031800,0.7201,0.3455,0.7847,0.6459,0.7212
2031900,0.8007,0.0099,0.3351,-999.0,-999.0
2032300,0.1987,0.5477,0.4924,0.8282,0.5089
2032400,0.995,0.8978,0.8542,0.7971,0.9587
2032600,0.7196,0.5423,0.8039,0.6765,0.7689
2032800,0.9312,0.982,0.888,0.8185,0.9635
2033000,0.9184,0.26,0.7854,0.7978,0.8459
2033201,0.8614,0.8798,0.8854,0.8761,0.9367
2033202,0.8189,0.9298,0.8241,0.9981,0.9846
2033400,0.4896,0.0861,0.5965,0.0642,0.2025
2033500,0.2862,0.1475,0.4565,0.6158,0.3405
2033600,0.9227,0.9025,0.7821,0.6274,0.9114
2033700,0.3301,0.7499,0.6099,0.5663,0.5701
2033800,0.9235,0.6596,0.9087,0.8417,0.922
2034000,0.8956,0.8197,0.893,0.6799,0.9031
2034200,0.8087,0.8137,0.8672,0.3297,0.7915
2034300,0.5294,0.8569,0.7190000000000001,0.8647,0.8176
2034400,0.6247,0.5165,0.8963,0.5468,0.7073
2034500,0.6616,0.7489,0.7004,0.7992,0.8085
2034800,0.7136,0.9744,0.8128,0.8253,0.9059999999999999
2035000,0.4041,0.3589,0.8264,0.1693,0.3948
2035100,0.4196,0.1223,0.5777,0.9811,0.6442
2035600,0.5829,0.6859,0.5204,0.1892,0.4948
2035800,0.6654,0.2823,0.7759,0.6421,0.6788
2035900,0.9774,0.9963,0.9736,0.6645,0.9766
2036000,0.6703,0.8187,0.7711,0.524,0.7683
2036100,0.9753,0.956,0.9942,0.8237,0.9797
2036300,0.9973,0.9108,0.9402,0.9119,0.9871
2036400,0.4845,0.7264,0.7245,0.4138,0.6193
2036501,0.9789,0.9385,0.9429,0.9909,0.9973
2036502,0.9186,0.8773,0.9761,0.9339,0.9718
2036700,0.9845,0.8709,0.9111,0.9047,0.9743
2036800,0.8506,0.8383,0.7775,0.8247,0.9089
2036901,0.9869,0.9684,0.9825,0.9540000000000001,0.9948
2036902,0.9981,0.9490000000000001,0.9485,0.9579,0.9944
2037000,0.7826,0.8321,0.8037,0.2439,0.7427
2037100,0.8909999999999999,0.9696,0.9421,0.8856,0.9662
2037200,0.8342,0.7993,0.8767,0.8454,0.9108
2037300,0.9581,0.9601,0.9406,0.9368,0.9876
2037400,0.9445,0.8705,0.8693,0.6906,0.9266
2037504,0.9853,0.9732,0.9439,0.9716,0.9956
2037600,0.8504,0.892,0.9326,0.9219,0.9502
2037800,0.9304,0.8907,0.9186,0.8676,0.9558
2037900,0.9909,0.7724,0.9746,0.982,0.9896
2038000,0.9339,0.8806,0.8561,0.7522,0.9332
2038100,0.9101,0.7902,0.9928,0.9536,0.9666
2038200,0.8898,0.8934,0.7608,0.5218,0.878
2038301,0.948,0.8286,0.9944,0.9774,0.9869
2038302,0.9965,0.938,0.9709,0.9749,0.9963
2038500,0.9882,0.9428,0.9856,0.9687,0.995
2038600,0.7232,0.6848,0.8311,0.7967,0.8398
2038700,0.9840000000000001,0.6464,0.9151,0.9403,0.9589
2038800,0.8295,0.9067,0.7635,0.897,0.9284
2038900,0.9778,0.7328,0.8142,0.9521,0.961
2039000,0.8891,0.5541,0.6499,0.7665,0.8471
2039100,0.9347,0.7078,0.9318,0.9484,0.9554
2039200,0.8307,0.5923,0.8458,0.9059,0.8948
2039300,0.9911,0.9851,0.9303,0.9901,0.9992
2039400,0.9208,0.8306,0.868,0.9434,0.9564
2039500,0.9687,0.9312,0.9623,0.9569,0.9907
2039600,0.8916,0.9893,0.8282,0.7731,0.9446
2039700,0.9356,0.0496,0.5936,0.9273,0.7925
2039800,0.6297,0.2278,0.6753,0.2391,0.4654
2039901,0.9925,0.8955,0.9849,0.9921,0.9988
2039902,0.9751,0.8395,0.9625,0.9946,0.9965
2040100,0.976,0.5671,0.9889,0.9347,0.9583
2040302,0.9617,0.8240000000000001,0.9907,0.9766,0.9882
2040303,0.9237,0.8404,0.9948,0.9983,0.9969
2040304,0.9807,0.7615,0.9913,0.8083,0.9529
2040400,0.7764,0.6388,0.6751,0.2118,0.6463
2040501,0.9331,0.8724,0.9866,0.7905,0.95
2040502,0.8597,0.5663,0.9711,0.8697,0.9093
2040600,0.8666,0.9482,0.8563,0.7961,0.9334
2040701,0.8775,0.6557,0.9790000000000001,0.7553,0.9023
2040702,0.9327,0.9279,0.9522,0.9302,0.9778
2040800,0.9359999999999999,0.8614,0.8192,0.6185,0.9104
2040900,0.7377,0.5378,0.6004,0.6003,0.7162
2041100,0.8527,0.7051,0.9291,0.7271,0.8849
2041300,0.8208,0.716,0.9361,0.9515,0.9307
2041400,0.7304,0.7728,0.7491,0.7646,0.84
2041500,0.8879,0.5797,0.9462,0.6741,0.873
2041800,0.9153,0.7005,0.8324,0.5837,0.8689
2041900,0.9248,0.7672,0.8736,0.9322,0.9471
2042000,0.9165,0.8852,0.8859999999999999,0.9362,0.9624
2042100,0.9554,0.7658,0.9274,0.9652,0.9722
2042200,0.7978,0.9011,0.7282,0.5425,0.8454
2042300,0.8987,0.7561,0.8858,0.9896,0.9695
2042400,0.6573,0.7261,0.8443,0.4915,0.745
2042500,0.9351,0.8242,0.9318,0.8568,0.9469
2042600,0.5491,0.3437,0.6276,0.2279,0.4413
2042800,0.3485,0.5927,0.7388,0.1424,0.3855
2042901,0.8773,0.8205,0.9381,0.7625,0.9187
2042902,0.9596,0.8236,0.9478,0.9490000000000001,0.9755
2043000,0.8328,0.8664,0.6659999999999999,0.7252,0.8718
2043100,0.9418,0.9585,0.9534,0.9992,0.9994
2043400,0.8543,0.9316,0.8625,0.7047,0.9141
2043500,0.9892,0.9872,0.7765,0.6784,0.9544
2043600,0.4853,0.7140000000000001,0.6377,0.3645,0.5734
2044200,0.8125,0.7371,0.7421,0.8355,0.8782
2044400,0.6774,0.4314,0.7291,0.7254,0.7313
2044800,0.5323,0.2573,0.439,0.0512,0.2297
2044901,0.4805,0.2935,0.2874,0.3943,0.3527
2044902,0.5064,0.6561,0.3126,0.6388,0.5591
2045101,0.1337,0.158,0.2955,0.7642,0.2647
2045102,0.3021,0.354,0.4693,0.6591,0.4315
2045600,0.3831,0.5826,0.6662,0.8036,0.6512
2045800,0.9863,0.9756,0.9153,0.7758,0.9726
2046000,0.9349,0.9515,0.7614,0.8815,0.9571
2046201,0.499,0.8924,0.7423,0.8983,0.8349
2046202,0.8941,0.9909,0.8361,0.9041,0.9707
2048400,0.5742,0.3798,0.76,0.5207,0.6189
2050400,0.6629,0.6415,0.948,0.6726,0.7967
2051600,0.2967,0.7862,0.3804,0.3212,0.3965
3000100,0.085,0.3069,0.561,0.9898,0.5616
3000200,0.9329,0.5231,0.9612,0.8809,0.9261
3000301,0.0676,0.0655,0.2924,0.7064,0.1448
3000501,0.1496,0.0686,0.4474,0.8829,0.3207
3000502,0.0752,0.1673,0.3359,0.9818,0.4031
3000700,0.0578,0.0549,0.2994,0.7551,0.1523
3000900,0.0572,0.0151,0.3763,0.9648,0.1977
3001100,0.1314,0.005,0.4546,0.737,0.1114
3001300,0.2024,0.0795,0.3975,0.9613,0.4056
3001500,0.5489,0.0859,0.7103,0.9967,0.7732
3001800,-999.0,-999.0,0.8567,-999.0,-999.0
3002000,0.9376,0.1968,0.9755,0.4165,0.7888
3002100,0.0947,0.0415,0.2994,0.9099,0.2239
3002200,0.8974,0.7891,0.9348,0.9463,0.9533
3002300,0.9952,0.9855,0.9676,0.7528,0.9803
3002901,0.9716,0.8024,0.9491,0.9797,0.9859
3003000,0.2816,0.3311,0.667,0.5564,0.4427
3003100,0.2288,0.203,0.7019,0.9718,0.5965
3003300,0.1245,0.0485,0.4381,0.54,0.1527
3003400,0.4434,0.1243,0.6829,0.983,0.6851
3003500,0.2775,0.3269,0.5487,0.8873,0.5492
3003600,0.2184,0.3474,0.619,0.9544,0.5909
3003700,0.0186,0.0176,0.4447,0.976,0.2129
3003800,0.4202,0.1642,0.5687,0.3643,0.3645
3003900,0.2265,0.0512,0.4184,0.7959,0.28800000000000003
3004100,0.2066,0.0378,0.4755,0.9225,0.344
3004300,0.0901,0.0268,0.3666,0.9882,0.305
3004400,0.0222,0.2677,0.3946,0.4094,0.1438
3004500,0.0499,0.0527,0.2977,0.6755,0.1168
3004600,0.2124,0.3856,0.4406,0.1691,0.1981
3004700,0.3191,0.1115,0.4039,0.3634,0.2315
3004900,0.1289,0.0758,0.4915,0.9165,0.3521
3005000,0.1707,0.1167,0.446,0.3626,0.1797
3005100,0.0545,0.0731,0.3984,0.3732,0.08900000000000001
3005201,0.5508,0.5413,0.6986,0.9229,0.7759
3005202,0.2656,0.3304,0.4621,0.5398,0.3641
3005300,0.4153,0.2233,0.5994,0.7344,0.5301
3005400,0.3222,0.374,0.33899999999999997,0.8854,0.5137
3005601,0.3031,0.3897,0.4946,0.5622,0.4191
3005602,0.2731,0.1431,0.5656,0.7928,0.4357
3005800,0.7188,0.1865,0.6518,0.8991,0.7481
3005900,0.2499,0.0853,0.5616,0.8456,0.4108
3006000,0.4059,0.0975,0.6895,0.5135,0.4093
3006200,0.4134,0.4409,0.6544,0.8821,0.6699
3006300,0.1227,0.0948,0.3769,0.3827,0.1278
3006400,0.4861,0.5768,0.5577,0.4084,0.5309
3006500,0.068,0.1406,0.1239,0.402,0.077
3006600,0.5027,0.1656,0.6809999999999999,0.8220000000000001,0.6118
3006700,0.1295,0.05,0.1528,0.4055,0.0618
3006800,0.8647,0.3852,0.8320000000000001,0.8672,0.8672
3006900,0.0667,0.0401,0.4004,0.6753,0.133
3007000,0.3481,0.8302,0.6994,0.8371,0.7224
3007100,0.8802,0.9244,0.8528,0.5982,0.9046
3007200,0.8467,0.7433,0.9443,0.9012,0.9279999999999999
3007400,0.9428,0.5651,0.9619,0.8257,0.9232
3007500,0.1249,0.0492,0.4278,0.5671,0.1598
3007600,0.9113,0.228,0.9365,0.7681,0.8521
3007700,0.2812,0.07,0.5893,0.8094,0.3996
3007800,0.8106,0.1712,0.9414,0.9621,0.8683
3008000,0.7389,0.4882,0.9264,0.5673,0.7662
3008200,0.8705,0.5785,0.9169,0.8288,0.8954
3008400,0.84,0.7621,0.9202,0.6629,0.8757
3008500,0.9985,0.9926,0.9507,0.7864,0.9878
3008600,-999.0,-999.0,-999.0,-999.0,-999.0
3008800,0.5696,0.0498,0.7652,0.4681,0.444
3009000,0.8454,0.5213,0.9427,0.9275,0.9118
3009200,0.9453,0.4791,0.9581,0.943,0.9415
3009400,0.8137,0.4067,0.9482,0.8044,0.8515
3009600,0.8699,0.2476,0.9359,0.6581,0.8104
3009800,0.8672,0.4327,0.9759,0.5997,0.8419
3010000,0.902,0.3676,0.9678,0.8121,0.8851
3010100,0.5879,0.2871,0.8643,0.7791,0.7068
3010200,0.7592,0.2451,0.9819,0.8313,0.8237
3010400,0.8634,0.0876,0.9705,0.6353,0.7568
3010600,0.897,0.0603,0.9645,0.5019,0.7158
3010800,0.7675,0.4804,0.9596,0.6559999999999999,0.8089
3011000,0.8765,0.3916,0.8485,0.6757,0.8261
3011200,0.919,0.8034,0.8456,0.8643,0.9344
3011400,0.8109999999999999,0.9845,0.8390000000000001,0.9581,0.9608
