gispropnum,q1,q2,q3,q4,budsum
X235,900,712,305,427,2344
B106B,46,403,179,163,791
B407,0,77,141,375,593
B350,96,299,0,0,395
B234,558,646,417,1747,3368
B259,359,89,433,679,1560
Q400,101,342,976,855,2274
B221,0,39,158,109,306
B124,740,494,125,736,2095
B349,2685,1734,56,243,4718
B026,827,219,162,418,1626
Q304,2240,416,646,443,3745
Q352,614,163,83,381,1241
Q066G,0,0,736,0,736
B378,125,0,0,9,134
Q290,205,1558,0,2453,4216
R064,12000,33397,223,1629,47249
Q404,394,931,125,227,1677
Q118,4437,142,572,3570,8721
B152,3347,399,401,888,5035
Q375,123,857,367,119,1466
M237,1266,96,5,7,1374
Q011,113,760,338,447,1658
Q422,299,1874,125,777,3075
R144,0,72,0,0,72
M273,2235,439,238,1988,4900
B210B,504,249,267,499,1519
B376,108,2336,60,422,2926
Q266,42,125,285,162,614
R085,507,727,987,1693,3914
R125,115,670,427,51,1263
X025,219,0,132,39,390
B358,3188,210,151,212,3761
B387,29,500,827,149,1505
B022,635,182,0,968,1785
X188,3119,1064,489,526,5198
B223DK,1390,471,2,238,2101
B382B,0,0,118,54,172
Q415,270,1119,557,448,2394
M158,628,895,982,204,2709
B298,0,0,0,4846,4846
Q100,0,61,0,28,89
Q402,790,249,83,294,1416
R071,606,334,0,741,1681
B272,1223,411,0,0,1634
Q426,410,236,663,429,1738
B346,1772,669,241,0,2682
B334,157,142,142,8099,8540
B197,8311,1177,592,2508,12588
Q349,7728,1276,439,294,9737
Q403,115,1233,0,39,1387
X183,79,282,74,172,607
M111,0,82,995,587,1664
Q044,715,429,4707,3862,9713
X131,2057,628,439,90,3214
X182,616,3537,996,751,5900
M108G,0,4,0,103,107
Q414,796,1557,0,882,3235
X158,385,239,282,186,1092
Q406,163,275,331,2888,3657
B325,5954,95,255,190,6494
B230,1487,4522,419,849,7277
Q393I,204,0,28,0,232
B286,9418,313,282,285,10298
X156,325,420,172,1280,2197
B132,112,66,246,715,1139
Q367,4740,315,366,835,6256
B295,104,189,71,86,450
Q430,252,153,0,299,704
Q321,453,234,0,409,1096
Q332,3319,465,104,404,4292
M007,0,274,58,4511,4843
R042,103,229,0,207,539
X178,297,669,1537,2576,5079
B156,54,147,57,460,718
X288,77,134,102,27,340
Q319,690,554,519,990,2753
B142,553,436,359,473,1821
Q328,172,147,296,386,1001
M214,0,111,105,0,216
X160,166,1543,71,844,2624
B362,2361,89,0,211,2661
B352,283,163,429,570,1445
X110A,0,0,0,0,0
B260,2446,858,271,13082,16657
B357,3345,127,569,492,4533
M198,0,26,1144,3935,5105
X154,235,234,171,23,663
M199,541,776,145,1848,3310
B309,3547,726,35,312,4620
X159,7556,536,104,1252,9448
X148A2,28,378,642,321,1369
X203,753,202,581,346,1882
M294,358,318,1472,1996,4144
